question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_pct,valid_n,question_total_n
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Fire Resistant Environmental Ensemble (FREE),Q1.14_1,nominal,1,Selected,16,100.0,16,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Flame Resistant Army Combat Uniform (FR ACU),Q1.14_2,nominal,1,Selected,17,100.0,17,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Flame Resistant Army Combat Pants (FR ACP),Q1.14_3,nominal,1,Selected,16,100.0,16,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Flame Resistant Army Combat Shirt (FR ACS),Q1.14_4,nominal,1,Selected,19,100.0,19,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,Other:,Q1.14_5,nominal,1,Selected,24,100.0,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,N/A (I do not have experience with FR uniforms),Q1.14_6,nominal,1,Selected,61,100.0,61,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,Ante arcu! Per natoque? Metus maecenas ridiculus curabitur! Phasellus eleifend. Eget. Eleifend. Eros.,Ante arcu! Per natoque? Metus maecenas ridiculus curabitur! Phasellus eleifend. Eget. Eleifend. Eros.,1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Atque potenti ab magnis velit elit facilisi purus tellus dolorem, molestie.","Atque potenti ab magnis velit elit facilisi purus tellus dolorem, molestie.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Augue ac, cursus. Pellentesque scelerisque dictumst molestie lorem? Integer porta enim auctor molestie risus.","Augue ac, cursus. Pellentesque scelerisque dictumst molestie lorem? Integer porta enim auctor molestie risus.",1,4.17,24,101
QID22,Q1.14,Do you have experience with any of the following FR uniforms?&nbsp; Select all that apply.,MC,,Q1.14_5_TEXT,nominal,"Dapibus, neque, mi dui non aliquam egestas iaculis blandit? Urna proin sit aenean molestie.","Dapibus, neque, mi dui non aliquam egestas iaculis blandit? Urna proin sit aenean molestie.",1,4.17,24,101
